"","released","colour","year","age","sex","employed","citizen","checks"
"1418","Yes","Black",1997,22,"Male","Yes","No",4
"4962","Yes","White",1999,20,"Male","Yes","Yes",5
"933","No","White",1998,34,"Male","No","Yes",4
"4075","Yes","White",1998,18,"Male","Yes","Yes",0
"2761","No","Black",1999,33,"Male","No","No",2
"4555","Yes","White",2001,17,"Male","Yes","Yes",2
"4744","No","Black",1999,28,"Male","Yes","No",3
"3926","Yes","White",2000,17,"Male","Yes","Yes",0
"2003","Yes","White",1999,18,"Male","Yes","Yes",1
"4318","Yes","White",2002,28,"Male","Yes","Yes",1
"4570","Yes","Black",2001,19,"Male","No","Yes",1
"1009","No","White",2000,18,"Male","Yes","No",0
"2475","Yes","White",1998,16,"Male","Yes","Yes",0
"3552","Yes","White",2001,19,"Male","Yes","Yes",3
"3324","Yes","White",1997,19,"Male","Yes","Yes",2
"4277","Yes","White",1999,19,"Male","Yes","Yes",2
"4885","Yes","Black",2001,44,"Male","Yes","Yes",0
"4809","Yes","White",1999,22,"Male","No","Yes",3
"4170","Yes","White",2000,29,"Male","Yes","Yes",2
"216","Yes","White",1998,22,"Male","Yes","Yes",3
"505","Yes","White",2000,18,"Female","Yes","Yes",0
"3121","Yes","White",2000,17,"Male","Yes","Yes",0
"4515","Yes","White",2001,34,"Female","Yes","Yes",0
"2085","Yes","White",2000,35,"Male","Yes","Yes",1
"466","Yes","Black",1999,18,"Male","Yes","Yes",1
"3627","Yes","White",1997,19,"Male","Yes","No",2
"4600","Yes","White",1999,17,"Male","Yes","Yes",0
"4407","Yes","White",2001,19,"Male","Yes","Yes",1
"4872","Yes","White",2001,19,"Male","Yes","Yes",0
"4402","Yes","White",2000,23,"Male","Yes","Yes",0
"4072","Yes","Black",2001,16,"Male","Yes","Yes",1
"2871","Yes","White",2000,17,"Female","Yes","Yes",4
"1388","Yes","White",2000,18,"Male","Yes","Yes",1
"3480","Yes","White",2001,20,"Male","Yes","Yes",0
"4103","Yes","White",1999,34,"Female","Yes","Yes",0
"1284","Yes","White",1998,17,"Male","No","Yes",3
