Acronym,Original Address,Lat,Lon,Name,,,,,,,,,,,,,,,,,
1155,"1155 E 60th St,",41.78544505,-87.59695932,,,,,,,,,,,,,,,,,,
A,"Anatomy Building, 1025 E 57th St., Chicago",41.79078960,-87.60010091,,,,,,,,,,,,,,,,,,
AB,"Abbott Memorial Hall, 947-51 E. 58th St., Chicago",41.78944525,-87.60463436,,,,,,,,,,,,,,,,,,
ART INT,"Art Institute of Chicago, 111 S. Michigan Ave. (60603)",41.87960500,-87.62307155,,,,,,,,,,,,,,,,,,
B455,"Booth 455, 455 N Cityfront Plaza Drive, Chicago",41.88994960,-87.62122390,,,,,,,,,,,,,,,,,,
BG,"Bartlett Commons, 5640 S. University Ave.",41.79196900,-87.59847700,,,,,,,,,,,,,,,,,,
BH A,"Billings, Central Corridor, 5841 S. Maryland Ave.",41.78900460,-87.60246524,,,,,,,,,,,,,,,,,,
BSLC,"Biological Sciences Learning Center, 924 E. 57th St.",41.79174515,-87.60280213,,,,,,,,,,,,,,,,,,
BMI,"Ben May Institute, 950 E. 59th St., Chicago",41.78848180,-87.60284198,,,,,,,,,,,,,,,,,,
C,"Cobb Lecture Hall, 5811-27 S. Ellis Ave.",41.78994600,-87.60127600,,,,,,,,,,,,,,,,,,
CHAP,"Chapin Hall, 1313 E. 60th St.",41.78563085,-87.59281786,,,,,,,,,,,,,,,,,,
CL,"Classics Building-Hiram Kelly Memorial, 1010 E. 59th St., Chicago",41.78794090,-87.60082187,,,,,,,,,,,,,,,,,,
CLSC,"Cummings Life Science Center, 920 E. 58th St., Chicago",41.78971150,-87.60244177,,,,,,,,,,,,,,,,,,
CNRC,"Campus North Residential Commons, 5500 South University Avenue",41.79433100,-87.59888670,,,,,,,,,,,,,,,,,,
CWAC,"Cochrane-Woods Art Center, 5540 S. Greenwood Ave.",41.79399655,-87.60019393,,,,,,,,,,,,,,,,,,
DASM,"David and Alfred Smart Museum, 5550 S. Greenwood Ave.",41.7935122,-87.60018650,,,,,,,,,,,,,,,,,,
E,"Eckhart Hall, 1118-32 E. 58th St.",41.79029385,-87.59853817,,,,,,,,,,,,,,,,,,
EBC,"Ida B. and Walter Erman Biology Center, 1103 E. 57th St.",41.79083020,-87.59917390,,,,,,,,,,,,,,,,,,
ED,"Edelstone Center, 6030 S. Ellis Ave.",41.78491125,-87.60158725,,,,,,,,,,,,,,,,,,
ERC,"William Eckhardt Research Center, 5640 South Ellis Avenue Chicago",41.79198600,-87.60171038,,,,,,,,,,,,,,,,,,
F,"Foster Hall, 1130 E. 59th St.",41.78794375,-87.59832296,,,,,,,,,,,,,,,,,,
FMNH,"Field Museum of Natural History, 1400 S. Lake Shore Dr. (60605)",41.86664900,-87.61823100,,,,,,,,,,,,,,,,,,
G-B,"Gates-Blake Halls, 5845 S. Ellis Ave.",41.78837600,-87.60097000,,,,,,,,,,,,,,,,,,
GHJ,"George Herbert Jones Laboratory, 5747 S. Ellis Ave.",41.79018000,-87.60080300,,,,,,,,,,,,,,,,,,
GC,"Gleacher Center, 450 N. Cityfront Plaza Drive (60611)",41.88962010,-87.62228350,,,,,,,,,,,,,,,,,,
GCIS,"Gordon Center for Integrative Science, 929 E. 57th St.",41.79089555,-87.60339252,,,,,,,,,,,,,,,,,,
GO H,"Goodspeed Hall, 1010 E. 59th St",41.78811810,-87.60095681,,,,,,,,,,,,,,,,,,
GSRP,"Ctrs for Gender Studies and Race, Politics, & Culture, 5733 S. University Ave.",41.79045800,-87.59766900,,,,,,,,,,,,,,,,,,
H,"Haskell Hall, 5836 S. Greenwood Ave., Chicago",41.78834570,-87.60007159,,,,,,,,,,,,,,,,,,
HC,"The University of Chicago Booth School of Business Charles M. Harper Center, 5807 S. Woodlawn Ave.",41.78914000,-87.59555200,,,,,,,,,,,,,,,,,,
HGS,"Henry Hinds Laboratory for the Geophysical Sciences, 5734 S. Ellis Ave.",41.79028200,-87.60167100,,,,,,,,,,,,,,,,,,
HM,"William Rainey Harper Memorial Library, 1116 E. 59th St.",41.78800400,-87.59964800,,,,,,,,,,,,,,,,,,
IFK,"Institute on the Formation of Knowledge, 5737 S. University Ave.",41.79026000,-87.59766100,,,,,,,,,,,,,,,,,,
JCL,"John Crerar Library, 5730 S. Ellis Ave.",41.79065095,-87.60281911,,,,,,,,,,,,,,,,,,
JRL,"Joseph Regenstein Library, 1100 E. 57th St.",41.79216200,-87.59997013,,,,,,,,,,,,,,,,,,
K,"Kent Chemical Laboratory, 1020 E. 58th St.",41.79029450,-87.60015529,,,,,,,,,,,,,,,,,,
KPTC,"Kersten Physics Teaching Center, 5720 S. Ellis Ave.",41.79100005,-87.60165766,,,,,,,,,,,,,,,,,,
LBQ,"Laird Bell Quadrangle, 1111 E. 60th St.",41.78508700,-87.59905800,,,,,,,,,,,,,,,,,,
LC,"Reva and David Logan Center for the Arts, 915 E. 60th St.",41.78536485,-87.60393333,,,,,,,,,,,,,,,,,,
