,Station Name,Air Temperature,Humidity,Wind Speed,Maximum Wind Speed,Month,Hour,Day of Year
0,Foster,33.602,79,3.3,0.0,February,5,34
1,Foster,63.806000000000004,89,3.3,0.0,September,0,268
2,Foster,33.602,78,3.3,0.0,February,6,34
3,Foster,33.206,77,3.3,0.0,February,7,34
4,Foster,33.404,76,3.3,0.0,February,8,34
5,Foster,32.0,87,3.3,0.0,February,9,37
6,Foster,32.0,87,3.3,0.0,February,10,37
7,Foster,32.0,87,3.3,0.0,February,11,37
8,Foster,32.306,87,3.3,0.0,February,12,37
9,Foster,35.6,82,3.3,0.0,February,20,37
10,Foster,37.4,73,3.3,0.0,February,2,38
11,Foster,64.202,88,3.3,0.0,September,1,268
12,Foster,30.794,62,3.3,0.0,February,6,42
13,Foster,33.602,66,3.3,0.0,February,11,42
14,Foster,31.892,72,3.3,0.0,February,2,43
15,Foster,33.404,69,3.3,0.0,February,4,44
16,Foster,31.298,64,3.3,0.0,February,8,44
17,Foster,34.502,64,3.3,0.0,February,0,45
18,Foster,33.206,67,3.3,0.0,February,4,45
19,Foster,32.306,61,3.3,0.0,February,5,45
20,Foster,64.508,89,3.3,0.0,September,2,268
21,Foster,32.108,62,3.3,0.0,February,6,45
22,Foster,33.8,60,3.3,0.0,February,8,45
23,Foster,32.9,42,3.3,0.0,February,23,46
24,Foster,30.398,47,3.3,0.0,February,19,47
25,Foster,14.899999999999999,46,3.3,0.0,February,3,48
26,Foster,14.0,49,3.3,0.0,February,6,48
27,Foster,13.892,50,3.3,0.0,February,7,48
28,Foster,17.6,40,3.3,0.0,February,10,48
29,Foster,32.306,82,3.3,0.0,February,2,50
30,Foster,32.702,77,3.3,0.0,February,4,50
31,Foster,31.694,78,3.3,0.0,February,6,50
32,Foster,31.496,78,3.3,0.0,February,7,50
33,Foster,65.102,89,3.3,0.0,September,3,268
34,Foster,35.6,72,3.3,0.0,February,3,51
35,Foster,26.6,62,3.3,0.0,February,4,55
36,Foster,32.9,52,3.3,0.0,February,1,56
37,Foster,48.2,87,3.3,0.0,February,22,58
38,Foster,32.504,68,3.3,0.0,February,5,59
39,Foster,30.2,67,3.3,0.0,February,6,59
40,Foster,35.6,41,3.3,0.0,March,7,61
41,Foster,64.706,89,3.3,0.0,September,4,268
42,Foster,39.2,70,3.3,0.0,March,2,67
43,Foster,32.504,49,3.3,0.0,March,3,70
44,Foster,32.0,51,3.3,0.0,March,4,70
45,Foster,64.904,88,3.3,0.0,September,5,268
46,Foster,37.4,56,3.3,0.0,March,11,70
47,Foster,64.904,88,3.3,0.0,September,6,268
48,Foster,64.904,89,3.3,0.0,September,7,268
49,Foster,37.4,82,3.3,0.0,March,6,75
50,Foster,32.0,44,3.3,0.0,March,21,77
51,Foster,32.9,43,3.3,0.0,March,15,78
52,Foster,33.602,41,3.3,0.0,March,16,78
53,Foster,32.0,44,3.3,0.0,March,2,79
54,Foster,32.0,43,3.3,0.0,March,3,79
55,Oak Street,67.28,89,0.6,0.7,September,7,268
56,Foster,32.0,51,3.3,0.0,March,14,80
57,Foster,32.0,46,3.3,0.0,March,15,80
58,Foster,32.0,49,3.3,0.0,March,17,80
59,Foster,65.102,88,3.3,0.0,September,8,268
60,Foster,31.694,53,3.3,0.0,March,19,80
61,Foster,65.60600000000001,87,3.3,0.0,September,9,268
62,Foster,31.496,52,3.3,0.0,March,23,80
63,Foster,31.496,54,3.3,0.0,March,1,81
64,Foster,31.298,52,3.3,0.0,March,2,81
65,Foster,31.1,49,3.3,0.0,March,3,81
66,Foster,30.2,55,3.3,0.0,March,6,81
67,Foster,65.60600000000001,88,3.3,0.0,September,10,268
68,Foster,32.0,49,3.3,0.0,March,9,81
69,Foster,33.008,52,3.3,0.0,March,16,81
70,Foster,32.108,80,3.3,0.0,March,8,82
71,Foster,65.408,88,3.3,0.0,September,11,268
72,Foster,64.706,88,3.3,0.0,September,12,268
73,Foster,64.706,89,3.3,0.0,September,13,268
74,Foster,33.404,73,3.3,0.0,March,5,83
75,Foster,32.108,71,3.3,0.0,March,6,83
76,Foster,64.706,89,3.3,0.0,September,14,268
77,Foster,32.0,72,3.3,0.0,March,7,83
78,Foster,32.0,73,3.3,0.0,March,8,83
79,Foster,66.002,90,3.3,0.0,September,15,268
80,Foster,33.602,67,3.3,0.0,March,9,83
81,Foster,32.702,40,3.3,0.0,March,15,83
82,Foster,32.504,44,3.3,0.0,March,16,83
83,Foster,32.504,50,3.3,0.0,March,21,83
84,Foster,32.702,46,3.3,0.0,March,23,83
85,Foster,33.8,60,3.3,0.0,March,4,84
86,Foster,37.4,55,3.3,0.0,March,11,84
87,Foster,65.408,88,3.3,0.0,September,16,268
88,Foster,44.6,60,3.3,0.0,March,16,86
89,Foster,32.0,52,3.3,0.0,March,11,87
90,Foster,65.3,87,3.3,0.0,September,17,268
91,Foster,32.9,54,3.3,0.0,March,7,88
92,Foster,41.0,86,3.3,0.0,April,6,92
93,Foster,64.4,88,3.3,0.0,September,18,268
94,Foster,41.0,72,3.3,0.0,April,16,97
95,Foster,48.2,43,3.3,0.0,April,15,112
96,Foster,60.8,81,3.3,0.0,May,12,128
97,Foster,68.0,69,3.3,0.0,May,16,128
98,Foster,63.5,87,3.3,0.0,September,19,268
99,Foster,71.6,76,3.3,0.0,June,11,157
100,Foster,62.708,86,3.3,0.0,September,20,268
101,Foster,62.204,86,3.3,0.0,September,21,268
102,Foster,91.4,37,3.3,0.0,June,18,171
103,Foster,68.0,79,3.3,0.0,June,2,172
104,Foster,68.0,81,3.3,0.0,June,4,172
105,Foster,62.906000000000006,89,3.3,0.0,June,21,172
106,Foster,63.5,91,3.3,0.0,June,2,173
107,Foster,71.6,74,3.3,0.0,June,12,173
108,Oak Street,63.68,89,0.0,0.9,September,21,268
109,Foster,61.7,87,3.3,0.0,September,22,268
110,Foster,69.8,88,3.3,0.0,July,6,195
111,Foster,77.0,73,3.3,0.0,July,10,195
112,Foster,69.8,89,3.3,0.0,July,2,197
113,Foster,69.8,57,3.3,0.0,July,0,200
114,Foster,61.501999999999995,87,3.3,0.0,September,23,268
115,Foster,61.10600000000001,86,3.3,0.0,September,0,269
116,Oak Street,62.959999999999994,88,0.8,3.0,September,0,269
117,Foster,60.602,85,3.3,0.0,September,1,269
118,Foster,60.206,82,3.3,0.0,September,2,269
119,Foster,60.403999999999996,79,3.3,0.0,September,3,269
120,Foster,59.504,81,3.3,0.0,September,4,269
121,Foster,59.0,82,3.3,0.0,September,5,269
122,Foster,58.406,80,3.3,0.0,September,6,269
123,Foster,57.902,80,3.3,0.0,September,7,269
124,Oak Street,61.34,78,1.0,2.3,September,7,269
125,Foster,59.9,75,3.3,0.0,September,8,269
126,Foster,63.608,67,3.3,0.0,September,9,269
127,Foster,67.1,59,3.3,0.0,September,10,269
128,Foster,68.702,61,3.3,0.0,September,11,269
129,Foster,69.908,53,3.3,0.0,September,12,269
130,Foster,33.206,80,3.3,0.0,January,1,1
131,Foster,33.008,82,3.3,0.0,January,2,1
132,Foster,70.7,55,3.3,0.0,September,13,269
133,Foster,32.0,68,3.3,0.0,January,6,1
134,Foster,30.794,64,3.3,0.0,January,9,1
135,Foster,31.1,62,3.3,0.0,January,13,1
136,Foster,30.992,61,3.3,0.0,January,15,1
137,Foster,30.992,63,3.3,0.0,January,16,1
138,Foster,30.2,63,3.3,0.0,January,17,1
139,Foster,28.292,70,3.3,0.0,January,0,2
140,Foster,32.0,74,3.3,0.0,January,4,3
141,Foster,32.0,78,3.3,0.0,January,5,3
142,Foster,32.0,82,3.3,0.0,January,6,3
143,Foster,31.496,55,3.3,0.0,January,5,4
144,Foster,31.1,55,3.3,0.0,January,6,4
145,Foster,32.0,49,3.3,0.0,January,10,4
146,Foster,32.0,53,3.3,0.0,January,11,4
147,Foster,32.0,54,3.3,0.0,January,12,4
148,Foster,70.502,54,3.3,0.0,September,14,269
149,Foster,32.0,56,3.3,0.0,January,21,4
150,Foster,32.108,56,3.3,0.0,January,1,5
151,Foster,30.398,64,3.3,0.0,January,5,5
152,Foster,32.0,85,3.3,0.0,January,1,6
153,Foster,32.108,85,3.3,0.0,January,2,6
154,Foster,32.0,85,3.3,0.0,January,6,6
155,Foster,33.602,82,3.3,0.0,January,20,6
156,Foster,33.206,81,3.3,0.0,January,22,6
157,Foster,32.0,81,3.3,0.0,January,5,7
158,Foster,32.0,79,3.3,0.0,January,7,7
159,Foster,33.8,64,3.3,0.0,January,18,7
160,Foster,33.206,68,3.3,0.0,January,0,8
161,Foster,33.008,69,3.3,0.0,January,2,8
162,Foster,32.0,71,3.3,0.0,January,4,8
163,Foster,32.702,69,3.3,0.0,January,5,8
164,Foster,33.8,69,3.3,0.0,January,7,10
165,Foster,32.0,67,3.3,0.0,January,14,10
166,Foster,31.298,71,3.3,0.0,January,20,10
167,Foster,69.602,52,3.3,0.0,September,15,269
168,Foster,32.0,72,3.3,0.0,January,21,10
169,Foster,33.8,78,3.3,0.0,January,3,11
170,Foster,26.6,76,3.3,0.0,January,5,13
171,Foster,26.6,74,3.3,0.0,January,9,13
172,Foster,69.404,52,3.3,0.0,September,16,269
173,Foster,-6.808,57,3.3,0.0,January,11,14
174,Foster,-3.406000000000006,56,3.3,0.0,January,15,14
175,Foster,-8.607999999999997,66,3.3,0.0,January,3,15
176,Foster,69.008,58,3.3,0.0,September,17,269
177,Foster,69.008,61,3.3,0.0,September,18,269
178,Foster,-7.600000000000001,68,3.3,0.0,January,6,15
179,Foster,-3.8019999999999996,62,3.3,0.0,January,10,15
180,Foster,1.093999999999994,53,3.3,0.0,January,13,15
181,Foster,3.1999999999999993,53,3.3,0.0,January,14,15
182,Foster,3.1999999999999993,51,3.3,0.0,January,16,15
183,Foster,-0.0040000000000048885,61,3.3,0.0,January,21,15
184,Foster,3.1999999999999993,49,3.3,0.0,January,17,16
185,Foster,3.1999999999999993,54,3.3,0.0,January,20,16
186,Foster,67.604,63,3.3,0.0,September,19,269
187,Foster,17.6,56,3.3,0.0,January,18,17
188,Foster,15.8,68,3.3,0.0,January,21,18
189,Foster,14.0,70,3.3,0.0,January,22,18
190,Foster,11.893999999999998,62,3.3,0.0,January,10,19
191,Foster,10.994,59,3.3,0.0,January,19,19
192,Foster,6.800000000000001,67,3.3,0.0,January,1,20
193,Foster,8.600000000000001,57,3.3,0.0,January,1,21
194,Foster,10.399999999999999,52,3.3,0.0,January,9,21
195,Foster,22.1,52,3.3,0.0,January,0,22
196,Foster,22.496,53,3.3,0.0,January,1,22
197,Foster,24.098,54,3.3,0.0,January,3,22
198,Foster,24.692,73,3.3,0.0,January,6,22
199,Foster,25.898,76,3.3,0.0,January,8,22
200,Foster,32.0,78,3.3,0.0,January,13,22
201,Foster,32.702,79,3.3,0.0,January,14,22
202,Foster,33.404,87,3.3,0.0,January,11,23
203,Foster,67.1,67,3.3,0.0,September,20,269
204,Foster,33.8,86,3.3,0.0,January,0,24
205,Foster,66.2,67,3.3,0.0,September,21,269
206,Foster,33.908,86,3.3,0.0,January,1,24
207,Foster,33.404,86,3.3,0.0,January,2,24
208,Foster,33.404,86,3.3,0.0,January,3,24
209,Foster,32.702,87,3.3,0.0,January,5,24
210,Foster,33.206,87,3.3,0.0,January,6,24
211,Foster,35.6,88,3.3,0.0,January,6,25
212,Foster,65.3,70,3.3,0.0,September,23,269
213,Foster,35.6,88,3.3,0.0,January,10,25
214,Foster,35.906,70,3.3,0.0,January,20,28
215,Foster,33.908,73,3.3,0.0,January,0,29
216,Foster,32.0,79,3.3,0.0,January,4,29
217,Foster,31.694,79,3.3,0.0,January,5,29
218,Foster,30.992,79,3.3,0.0,January,6,29
219,Oak Street,68.36,64,0.0,0.6,September,23,269
220,Foster,31.298,80,3.3,0.0,January,8,29
221,Foster,31.298,80,3.3,0.0,January,9,29
222,Foster,32.9,77,3.3,0.0,January,10,29
223,Foster,37.4,75,3.3,0.0,January,3,31
224,Foster,33.602,82,3.3,0.0,February,0,34
225,Foster,33.8,80,3.3,0.0,February,3,34
226,Foster,33.8,80,3.3,0.0,February,4,34
227,Foster,63.806000000000004,71,3.3,0.0,September,0,270
228,Oak Street,68.0,67,0.0,0.6,September,0,270
229,Foster,63.5,73,3.3,0.0,September,1,270
230,Foster,62.906000000000006,73,3.3,0.0,September,2,270
231,Foster,64.904,32,3.3,0.0,October,22,276
232,Foster,51.8,89,3.3,0.0,November,6,319
233,Foster,50.0,68,3.3,0.0,November,11,320
234,Foster,60.8,69,3.3,0.0,November,8,324
235,Foster,30.992,86,3.3,0.0,November,11,326
236,Foster,32.306,85,3.3,0.0,November,12,326
237,Foster,23.0,50,3.3,0.0,November,14,334
238,Foster,70.304,30,3.3,0.0,October,16,280
239,Foster,22.298000000000002,49,3.3,0.0,November,16,334
240,Foster,21.2,50,3.3,0.0,November,21,334
241,Foster,20.3,52,3.3,0.0,November,22,334
242,Foster,19.796,54,3.3,0.0,November,23,334
243,Foster,16.592,60,3.3,0.0,November,4,335
244,Foster,15.8,62,3.3,0.0,November,5,335
245,Foster,15.494,62,3.3,0.0,November,6,335
246,Foster,14.899999999999999,63,3.3,0.0,November,7,335
247,Foster,24.8,45,3.3,0.0,November,16,335
248,Foster,20.192,46,3.3,0.0,November,23,335
249,Foster,60.602,58,3.3,0.0,October,20,283
250,Foster,19.292,46,3.3,0.0,December,0,336
251,Foster,62.00600000000001,51,3.3,0.0,October,9,284
252,Foster,18.392000000000003,47,3.3,0.0,December,1,336
253,Foster,17.6,49,3.3,0.0,December,2,336
254,Foster,15.692,55,3.3,0.0,December,5,336
255,Foster,14.791999999999998,55,3.3,0.0,December,8,336
256,Foster,18.698,60,3.3,0.0,December,22,336
257,Foster,17.6,64,3.3,0.0,December,0,337
258,Oak Street,63.5,54,2.0,6.0,October,9,284
259,Foster,17.491999999999997,69,3.3,0.0,December,5,337
260,Foster,17.491999999999997,69,3.3,0.0,December,6,337
261,Foster,23.0,63,3.3,0.0,December,18,337
262,Foster,21.2,69,3.3,0.0,December,3,338
263,Foster,21.2,70,3.3,0.0,December,4,338
264,Foster,21.2,71,3.3,0.0,December,7,338
265,Foster,21.2,44,3.3,0.0,December,22,339
266,Foster,19.4,47,3.3,0.0,December,23,339
267,Foster,23.0,52,3.3,0.0,December,23,340
268,Foster,30.794,34,3.3,0.0,December,15,341
269,Foster,31.496,35,3.3,0.0,December,16,341
270,Foster,32.0,36,3.3,0.0,December,17,341
271,Foster,32.0,36,3.3,0.0,December,18,341
272,Foster,31.496,37,3.3,0.0,December,20,341
273,Foster,32.0,59,3.3,0.0,December,19,345
274,Foster,21.2,43,3.3,0.0,December,19,346
275,Foster,6.494,48,3.3,0.0,December,4,347
276,Foster,14.0,40,3.3,0.0,December,0,348
277,Foster,10.399999999999999,48,3.3,0.0,December,3,348
278,Foster,17.6,62,3.3,0.0,December,10,348
279,Foster,32.0,64,3.3,0.0,December,9,349
280,Foster,37.903999999999996,87,3.3,0.0,December,3,350
281,Foster,35.6,74,3.3,0.0,December,0,353
282,Foster,32.504,75,3.3,0.0,December,7,353
283,Foster,31.892,69,3.3,0.0,December,8,353
284,Foster,32.0,65,3.3,0.0,December,9,353
285,Foster,31.1,66,3.3,0.0,December,13,353
286,Oak Street,35.24,60,2.0,3.4,February,4,50
287,Foster,30.398,56,3.3,0.0,December,16,353
288,Foster,31.298,61,3.3,0.0,December,14,354
289,Foster,32.0,64,3.3,0.0,December,16,354
290,Foster,31.694,56,3.3,0.0,December,13,357
291,Foster,32.306,67,3.3,0.0,December,18,357
292,Foster,33.404,58,3.3,0.0,December,21,357
293,Foster,62.6,53,3.3,0.0,October,10,284
294,Foster,64.4,41,3.3,0.0,October,15,284
295,Foster,60.007999999999996,45,3.3,0.0,October,3,285
296,Foster,33.602,56,3.3,0.0,December,22,357
297,Foster,33.404,54,3.3,0.0,December,1,358
298,Foster,59.504,43,3.3,0.0,October,4,285
299,Foster,32.108,77,3.3,0.0,February,5,50
300,Oak Street,34.88,56,0.7,1.3,February,5,50
301,Foster,35.6,76,3.3,0.0,December,6,359
302,Oak Street,34.34,63,0.3,0.5,February,6,50
303,Foster,58.604,46,3.3,0.0,October,5,285
304,Foster,33.8,77,3.3,0.0,December,22,359
305,Oak Street,34.34,69,1.8,2.1,February,7,50
306,Foster,33.008,66,3.3,0.0,February,8,50
307,Oak Street,35.78,66,1.4,2.4,February,8,50
308,Foster,33.602,80,3.3,0.0,December,0,360
309,Foster,33.8,78,3.3,0.0,December,1,360
310,Foster,34.304,68,3.3,0.0,February,9,50
311,Oak Street,37.04,63,1.8,3.9,February,9,50
312,Foster,35.708,63,3.3,0.0,February,10,50
313,Oak Street,38.660000000000004,59,1.5,1.7,February,10,50
314,Foster,33.008,80,3.3,0.0,December,2,360
315,Foster,36.806,64,3.3,0.0,February,11,50
316,Oak Street,38.48,65,2.5,4.1,February,11,50
317,Foster,36.5,68,3.3,0.0,February,12,50
318,Oak Street,41.36,56,3.8,5.5,February,12,50
319,Foster,37.004,70,3.3,0.0,February,13,50
320,Oak Street,39.92,67,3.6,5.6,February,13,50
321,Foster,37.903999999999996,72,3.3,0.0,February,14,50
322,Oak Street,42.620000000000005,61,3.0,4.3,February,14,50
323,Foster,37.706,72,3.3,0.0,February,15,50
324,Oak Street,44.78,47,4.2,5.2,February,15,50
325,Foster,38.804,68,3.3,0.0,February,16,50
326,Oak Street,45.68,45,2.4,3.8,February,16,50
327,Foster,38.3,70,3.3,0.0,February,17,50
328,Oak Street,44.42,53,3.4,4.5,February,17,50
329,Foster,37.4,73,3.3,0.0,February,18,50
330,Oak Street,43.879999999999995,57,2.3,3.5,February,18,50
331,Oak Street,41.0,79,4.9,8.6,April,18,95
332,Foster,44.402,60,3.3,0.0,April,13,116
333,Oak Street,46.4,68,2.4,2.9,April,13,116
334,Foster,44.6,73,3.3,0.0,April,14,116
335,Oak Street,46.22,75,3.0,3.7,April,14,116
336,Foster,45.5,69,3.3,0.0,April,15,116
337,Oak Street,46.04,75,3.4,4.0,April,15,116
338,Foster,44.708,71,3.3,0.0,April,16,116
339,Oak Street,46.58,75,3.0,4.1,April,16,116
340,Foster,45.5,68,3.3,0.0,April,17,116
341,Foster,37.508,72,3.3,0.0,February,19,50
342,Oak Street,46.58,52,1.3,2.4,February,19,50
343,Foster,43.501999999999995,52,3.3,0.0,February,20,50
344,Oak Street,45.68,53,1.0,1.7,February,20,50
345,Foster,41.9,54,3.3,0.0,February,21,50
346,Oak Street,44.42,54,0.8,1.5,February,21,50
347,Foster,40.604,58,3.3,0.0,February,22,50
348,Oak Street,43.7,56,1.3,2.8,February,22,50
349,Foster,39.704,57,3.3,0.0,February,23,50
350,Oak Street,42.620000000000005,57,1.0,1.7,February,23,50
351,Foster,39.2,60,3.3,0.0,February,0,51
352,Oak Street,42.08,60,1.4,2.0,February,0,51
353,Foster,38.102000000000004,65,3.3,0.0,February,1,51
354,Oak Street,41.0,63,2.8,3.9,February,1,51
355,Foster,36.302,71,3.3,0.0,February,2,51
356,Oak Street,40.28,64,3.1,4.6,February,2,51
357,Oak Street,40.28,63,1.6,2.9,February,3,51
358,Foster,35.006,73,3.3,0.0,February,4,51
359,Oak Street,40.64,61,2.0,3.0,February,4,51
360,Foster,37.202,62,3.3,0.0,February,5,51
361,Oak Street,40.82,59,0.7,1.9,February,5,51
362,Foster,37.508,59,3.3,0.0,February,6,51
363,Oak Street,42.44,55,1.2,2.7,February,6,51
364,Foster,37.706,58,3.3,0.0,February,7,51
365,Oak Street,43.34,52,1.5,3.2,February,7,51
366,Foster,36.806,68,3.3,0.0,February,8,51
367,Oak Street,42.620000000000005,54,1.7,2.8,February,8,51
368,Foster,36.302,69,3.3,0.0,February,9,51
369,Oak Street,42.260000000000005,58,2.8,4.4,February,9,51
370,Foster,38.804,67,3.3,0.0,February,10,51
371,Oak Street,46.22,49,2.1,3.4,February,10,51
372,Foster,41.0,61,3.3,0.0,February,11,51
373,Oak Street,46.04,55,3.0,4.5,February,11,51
374,Foster,43.7,57,3.3,0.0,February,12,51
375,Oak Street,48.74,49,2.4,4.1,February,12,51
376,Foster,44.6,54,3.3,0.0,February,13,51
377,Oak Street,54.86,35,1.3,2.2,February,13,51
378,Foster,55.004,30,3.3,0.0,February,14,51
379,Oak Street,54.86,35,1.8,4.0,February,14,51
380,Foster,56.408,32,3.3,0.0,February,15,51
381,Oak Street,55.22,36,1.3,2.5,February,15,51
382,Foster,56.102000000000004,31,3.3,0.0,February,16,51
383,Oak Street,56.120000000000005,35,1.5,5.1,February,16,51
384,Foster,55.004,33,3.3,0.0,February,17,51
385,Oak Street,55.22,39,1.3,1.8,February,17,51
386,Foster,53.402,40,3.3,0.0,February,18,51
387,Oak Street,54.32,44,0.7,1.5,February,18,51
388,Foster,51.908,45,3.3,0.0,February,19,51
389,Oak Street,53.6,48,2.3,4.4,February,19,51
390,Foster,51.403999999999996,47,3.3,0.0,February,20,51
391,Oak Street,52.7,51,1.5,2.9,February,20,51
392,Foster,49.604,50,3.3,0.0,February,21,51
393,Oak Street,52.16,51,1.3,3.6,February,21,51
394,Foster,40.208,71,3.3,0.0,April,19,95
395,Oak Street,41.72,76,5.1,8.1,April,19,95
396,Oak Street,46.04,75,2.0,2.8,April,17,116
397,Foster,53.204,73,3.3,0.0,May,6,126
398,Oak Street,55.58,74,2.6,4.0,May,6,126
399,Foster,51.8,75,3.3,0.0,May,8,131
400,Oak Street,54.32,78,1.3,2.0,May,8,131
401,Foster,54.5,72,3.3,0.0,May,9,131
402,Oak Street,55.4,81,2.7,3.2,May,9,131
403,Foster,53.006,73,3.3,0.0,May,10,131
404,Oak Street,54.68,82,1.8,2.3,May,10,131
405,Foster,53.708,74,3.3,0.0,May,11,131
406,Oak Street,54.14,82,2.1,2.8,May,11,131
407,Foster,52.7,72,3.3,0.0,May,12,131
408,Oak Street,53.6,81,2.1,2.6,May,12,131
409,Foster,52.808,73,3.3,0.0,May,13,131
410,Oak Street,54.5,80,3.9,5.4,May,13,131
411,Foster,53.204,77,3.3,0.0,May,14,131
412,Oak Street,58.459999999999994,73,1.6,3.4,May,14,131
413,Foster,57.002,77,3.3,0.0,May,15,131
414,Oak Street,61.34,69,2.7,4.0,May,15,131
415,Foster,65.3,50,3.3,0.0,May,16,131
416,Oak Street,63.68,65,3.1,3.9,May,16,131
417,Foster,66.30799999999999,46,3.3,0.0,May,17,131
418,Oak Street,67.82,49,2.1,4.3,May,17,131
419,Foster,67.208,44,3.3,0.0,May,18,131
420,Oak Street,67.46,49,0.5,1.7,May,18,131
421,Foster,66.902,43,3.3,0.0,May,19,131
422,Oak Street,67.82,48,1.2,6.8,May,19,131
423,Foster,65.3,44,3.3,0.0,May,20,131
424,Oak Street,66.74000000000001,48,1.1,3.4,May,20,131
