"","title","rating","calories","protein","fat","sodium"
"16345","Sweet Matzo and Cottage-Cheese Pudding ",4.375,380,14,20,313
"16581","Armagnac Toffee Sauce ",5,520,1,45,26
"9519","Homemade Ketchup ",4.375,168,2,6,235
"12931","Three-Onion, Sun-Dried Tomato, Olive Tart ",3.125,281,8,9,365
"7726","Apple Walnut Upside-Down Cake with Calvados Caramel Sauce ",3.75,306,2,15,128
"16122","Gnocchi Gratin With Gorgonzola Dolce ",5,707,30,52,1063
"4488","Date Nut Cookie Pies ",5,243,2,20,176
"16296","Chilled Watercress Soup with Onion Cream ",0,161,3,13,61
"8750","Beer-Batter Tempura ",3.75,NA,NA,NA,NA
"11115","Vanilla-Maple French Toast with Warm Berry Preserves ",4.375,NA,NA,NA,NA
"17942","Classic Lemon Cheesecake ",4.375,797,15,58,256
"5946","Cranberry Caramel Sauce ",4.375,402,0,0,3
"1147","Chocolate Natillas with Coffee-Bean Granita ",3.75,NA,NA,NA,NA
"17582","Katniss's Favorite Lamb Stew with Dried Plums ",3.75,618,65,19,1057
"12520","Coffee-Marinated Bison Short Ribs ",4.375,477,69,9,8187
"15778","Barbecued Chicken with Vinegar Basting Sauce ",4.375,321,54,7,1627
"8782","Mocha Custards with Buttermilk Doughnuts ",1.875,NA,NA,NA,NA
"11351","Hazelnut Linzertorte with Cranberry-Apricot Filling ",4.375,580,5,19,44
"17873","Ecuadoran Tamarillo Salsa ",4.375,80,2,5,17
"6130","Strawberry Shortcakes with Mint and Whipped Cream ",4.375,959,10,74,337
"11577","Lebkuchen Spice Mix (Lebkuchengewurz) ",0,77,2,1,17
"15487","Green Bean and Lemon Casserole ",4.375,114,2,9,8
"12692","California Vegetable and Chickpea Chili ",4.375,931,35,40,2881
"15064","Maple Apple Pandowdy with Dried Cranberries ",4.375,203,1,3,101
"2943","Spicy Jalapeño Sweet Potato Fries ",4.375,NA,NA,NA,NA
"12092","Grilled Cumin-Lamb Pitas with Couscous and Yogurt ",4.375,672,37,42,376
"17305","Sparkling Lemon Cocktail ",0,177,0,0,10
"6307","Roasted Stuffed Onions ",4.375,1492,42,57,1396
"13168","Genoa Toasts ",4.375,NA,NA,NA,NA
"13737","Minted Beet Salad ",4.375,NA,NA,NA,NA
"2192","Caesar Potato Salad with Grilled Red Onion ",3.75,332,7,19,302
"5431","Tagliatelle with Shredded Beets, Sour Cream, and Parsley ",4.375,560,14,22,115
"1212","Penne with Almond Pesto and Green Beans ",4.375,611,15,34,391
"17001","Green Beans and Celery Root Salad with Mustard Vinaigrette ",4.375,109,2,7,234
