"","title","rating","calories","protein","fat","sodium"
"16354","Dried Fruit Stuffing ",5,303,7,13,284
"16590","Sauteed Swordfish with Niçoise Vinaigrette ",4.375,530,28,45,402
"9524","Chicken Cheddar Quesadillas with Tomato and Corn Salsa ",3.75,649,29,43,1274
"12938","Green Beans with Red Onion and Olives ",3.75,108,2,7,309
"7730","Treacle Scones ",3.75,238,4,6,314
"16129","Steamed Clams with Pasta ",4.375,715,77,10,2734
"4489","Ham and Sage Ponice ",2.5,273,19,10,629
"16305","Steak with Lemongrass Peppercorn Sauce ",3.75,641,45,47,202
"8755","Heirloom Tomato Herb Pasta Salad ",4.375,453,14,14,28
"11121","Red-Cooked Pork with Frizzled Ginger ",4.375,806,96,37,3020
"17951","Tricolor Roasted Peppers ",3.75,158,1,14,6
"5948","Grilled Rib-Eye Steaks with Cucumber Relish ",3.75,483,34,36,104
"17591","Grasshopper Hot Chocolate ",4.375,374,9,13,96
"12527","Stir-Fried Spinach with Ginger and Garlic ",3.125,77,4,5,112
"15785","Shaved Fennel and Apple Salad ",4.375,205,1,18,322
"8787","Pumpkin Mascarpone Pie ",4.375,690,8,51,359
"11357","Aji Amarillo-Pineapple Salsa ",4.375,60,1,0,5
"17882","Crab-and-Pork Spring Rolls ",5,1231,6,135,150
"6132","Cucumber Gin Cocktail ",0,230,2,1,7
"11584","Spicy Spinach and Goat Cheese Pizzas ",3.75,853,31,28,1677
"15494","Caramel Mousse Napoleon with Caramel Sauce and Berries ",4.375,1993,16,154,302
"12699","Meringue, Chocolate, and Kirsch Cream Layer Cake ",4.375,444,8,28,61
"15071","Purple Potatoes with Sour Cream and Caviar ",2.5,104,3,3,81
"2942","Tarragon-Caper Egg Salad Sandwiches with Smoked Salmon ",4.375,397,16,23,690
"12099","Brioche Bread Pudding ",5,587,14,19,324
"17314","Salmon with Sriracha Sauce and Lime ",5,313,29,19,371
"6309","Grits with Goat Cheese and Chives ",4.375,152,6,5,637
"13175","Pasta Frittata with Broccoli Rabe and Sun-Dried Tomatoes ",3.75,445,23,19,868
"13744","Chocolate Puddings with Orange Whipped Cream ",4.375,651,8,46,72
"2192","Caesar Potato Salad with Grilled Red Onion ",3.75,332,7,19,302
"5433","Moroccan Lamb Kebabs with Golden Couscous ",5,759,45,54,1298
"1212","Penne with Almond Pesto and Green Beans ",4.375,611,15,34,391
"17010","Carrot, Fennel, and Orange Soup ",4.375,184,3,9,763
"10527","Roquefort Dressing ",5,263,12,22,1048
"6363","Fruit and Nut Strudel Cookies ",3.75,185,2,9,14
"2118","Mustard Watercress Sauce ",3.75,189,2,18,241
"17072","Sweet Shallot Vinaigrette ",1.25,128,0,14,3
"9883","Camembert with Blue Cheese, Figs and Port Sauce ",3.75,473,19,26,840
"8944","Red Cabbage with Raspberries, Onions and Apples ",4.375,261,3,12,47
"18734","Upside-Down Honey Cheesecakes ",3.75,430,6,29,244
