"","hours","income","age","education","child5","child13","child17","nonwhite","owned","mortgage","occupation","unemp"
"236",1972,181,29,13,1,1,0,1,1,1,"other",3
"942",2080,309,26,14,0,0,0,0,1,1,"swcc",6
"1509",24,488,36,13,1,2,1,0,1,1,"mp",6
"3382",1938,409,37,9,0,2,1,1,0,0,"other",9
"1717",1837,440,50,12,0,0,0,0,1,1,"mp",5
"2717",2080,223,28,16,0,0,0,0,0,0,"mp",4
"1955",0,203,64,12,0,0,0,0,1,0,"other",6
"194",0,571,33,17,2,0,0,0,1,1,"mp",2
"2273",0,292,26,12,0,3,0,0,1,1,"swcc",4
"1944",1893,173,32,12,1,1,0,0,1,1,"other",7
"1784",88,94,29,12,0,2,0,0,0,0,"other",7
"2350",1914,255,34,12,0,1,0,0,1,1,"swcc",4
"865",2040,65,63,8,0,0,0,0,1,0,"other",7
"2219",1960,210,30,12,1,1,0,0,1,1,"other",4
"3135",1587,188,38,12,1,3,2,1,0,0,"other",7
"1072",1512,138,28,16,1,0,0,0,1,1,"swcc",4
"779",1168,49,25,12,2,1,0,1,0,0,"other",10
"503",0,412,42,12,0,2,1,0,1,1,"swcc",3
"1699",2090,-20,36,14,1,1,1,0,0,0,"other",11
"3222",1560,110,24,13,1,0,0,1,0,0,"other",6
"1140",2484,115,43,17,0,2,0,0,1,0,"swcc",8
"2088",354,340,32,11,0,1,0,0,0,0,"swcc",6
"1380",1872,310,22,12,1,0,0,0,1,0,"other",9
"1230",1084,460,32,12,0,2,0,0,1,1,"mp",5
"3107",1768,146,22,12,1,0,0,1,0,0,"swcc",6
"116",1750,358,48,12,0,1,1,0,0,0,"mp",7
"843",1435,123,38,17,1,1,0,0,1,1,"mp",3
"1340",1695,226,53,12,0,0,0,0,1,0,"other",1
"1886",0,153,35,13,1,1,1,0,0,0,"mp",5
"1249",2000,135,23,12,0,0,0,0,0,0,"swcc",6
"1414",1908,650,48,13,0,0,0,0,1,1,"mp",5
"2500",1568,18,28,12,1,2,0,1,0,0,"other",6
"2034",0,512,39,12,1,1,0,0,1,1,"mp",6
"979",2250,2700,36,17,0,0,0,0,1,1,"mp",6
"2872",532,62,23,11,3,0,0,1,0,0,"other",6
"1359",2470,335,53,12,0,0,0,0,1,1,"other",4
"665",2241,99,26,16,0,0,0,0,0,0,"swcc",5
"1631",1991,87,22,11,0,0,0,0,0,0,"other",6
"2545",0,148,26,9,2,3,0,1,0,0,"other",9
"2550",1828,302,30,13,0,4,0,1,1,1,"swcc",2
"1922",1250,384,34,17,0,0,0,0,1,1,"mp",8
"2170",1976,350,23,12,1,0,0,1,0,0,"mp",7
"971",2480,366,40,12,0,0,2,0,1,1,"other",7
"711",2024,113,19,12,0,0,0,0,0,0,"other",4
"2621",0,102,59,10,0,0,0,0,0,0,"other",11
"2978",0,382,45,12,0,0,0,0,1,1,"swcc",5
"645",1219,190,38,13,0,1,2,0,1,1,"mp",3
"1892",1798,122,46,14,0,0,0,0,1,1,"swcc",3
"1258",2130,330,36,14,0,1,1,0,1,1,"other",3
"69",0,584,55,12,0,0,0,0,1,1,"mp",3
"331",4742,230,31,17,1,2,0,0,1,1,"mp",8
"1060",0,539,25,16,1,0,0,0,1,1,"mp",2
"2139",0,104,44,10,1,1,1,0,1,0,"swcc",8
"972",1470,354,41,13,0,2,0,0,1,1,"mp",8
"941",1023,609,54,16,0,0,0,0,1,0,"mp",3
"3050",2045,130,33,13,0,0,1,1,0,0,"other",6
"1478",0,517,39,12,0,0,1,0,1,0,"mp",7
"2603",0,435,31,14,1,1,0,0,1,1,"mp",4
"994",1953,96,48,14,0,0,0,0,1,1,"other",3
"1852",406,45,31,9,1,3,1,1,0,0,"other",13
"2792",1938,436,35,15,0,1,1,1,1,1,"mp",2
"2163",78,650,34,14,0,0,0,0,1,1,"mp",6
"3343",1283,170,30,10,2,1,0,1,1,0,"other",17
"2653",2856,280,36,12,0,1,0,1,0,0,"other",2
"2850",1646,263,36,17,0,0,0,1,1,1,"mp",6
"2279",2040,162,31,12,1,0,0,1,1,1,"other",4
"170",57,242,32,12,3,1,0,0,0,0,"swcc",2
"368",2023,280,26,16,0,0,0,0,1,1,"mp",2
"2209",2040,423,43,11,2,1,0,1,1,1,"swcc",4
"3333",0,200,30,14,2,0,0,1,0,0,"swcc",5
"2823",1850,150,37,12,0,1,0,0,0,0,"other",4
"237",0,114,57,12,0,0,0,0,1,0,"other",6
"1645",1530,272,33,14,1,1,0,0,1,1,"mp",8
"2222",600,17,46,9,1,0,0,1,0,0,"other",4
"2555",1388,542,40,17,0,0,0,0,1,1,"swcc",6
"2421",820,541,37,13,0,2,0,0,1,1,"swcc",5
"806",0,750,38,16,0,1,1,0,1,1,"mp",8
"233",2122,270,24,12,0,0,0,0,1,1,"other",3
"2830",1336,333,40,17,0,2,0,0,1,1,"mp",6
"191",1000,530,45,12,0,0,1,0,1,1,"swcc",7
"225",588,237,49,10,0,0,0,1,1,1,"other",10
"2483",1836,387,33,12,0,3,0,1,1,1,"mp",4
"1455",1657,99,50,12,0,0,0,0,1,1,"other",8
"1028",96,405,32,16,1,1,0,0,1,1,"swcc",5
"2071",0,460,52,14,0,0,0,1,1,1,"other",8
"2179",1785,465,44,10,0,0,0,0,1,1,"swcc",5
"2762",410,101,19,9,2,0,0,1,1,1,"swcc",5
"1877",1248,252,40,12,0,1,1,0,0,0,"other",7
"2311",1976,85,20,12,0,0,0,1,0,0,"swcc",5
"864",1764,97,59,12,0,0,0,0,1,0,"other",7
"2610",1300,64,33,11,0,0,0,1,0,0,"other",9
"1416",0,455,45,12,0,0,1,0,0,0,"mp",2
"424",0,240,42,12,1,1,1,0,1,0,"other",11
"2418",1868,81,52,12,0,0,0,0,0,0,"other",5
"2920",1930,196,40,12,0,2,1,1,0,0,"other",7
"53",1980,483,43,15,0,0,0,0,1,1,"mp",3
"264",534,146,36,13,2,0,0,0,0,0,"other",3
"1710",1519,150,22,12,0,0,0,0,0,0,"swcc",4
"1021",0,395,58,10,0,0,0,1,1,0,"other",5
"1996",0,272,63,12,0,0,0,0,1,1,"other",4
"1798",0,284,33,12,0,2,0,0,1,1,"swcc",9
"2965",1840,494,42,12,0,0,2,0,0,0,"swcc",4
"2887",1743,110,46,11,0,1,0,0,0,0,"other",5
"1308",1928,216,46,12,0,0,0,1,0,0,"swcc",4
"1450",1756,186,33,15,1,0,0,0,1,1,"mp",4
"2680",1916,297,34,16,0,2,0,1,1,1,"swcc",4
"32",1676,141,25,8,2,1,0,0,1,1,"other",7
"2695",1960,272,32,14,1,0,0,1,0,0,"mp",5
"2869",2916,23,23,14,0,0,0,1,0,0,"other",6
"27",1780,96,29,12,0,0,0,1,0,0,"other",5
"1475",0,260,30,16,2,0,0,0,1,1,"mp",3
"749",2050,206,31,12,1,1,0,0,1,1,"other",7
"342",973,880,48,16,0,0,0,0,1,1,"mp",6
"1743",0,591,32,12,1,2,0,0,1,1,"mp",5
"1920",1222,240,42,12,0,1,1,0,0,0,"swcc",4
"140",2000,350,32,16,0,0,0,0,1,1,"mp",4
"1656",1304,200,30,12,0,2,0,0,1,1,"other",5
"1761",2048,478,36,15,0,0,1,0,1,1,"mp",6
"3068",0,163,46,4,0,1,0,0,1,1,"swcc",5
"2532",2080,110,30,12,2,1,0,1,1,1,"swcc",6
"2470",0,332,28,12,1,1,0,0,1,1,"other",4
"362",1568,100,33,17,1,1,0,0,1,1,"other",4
"1558",864,176,28,15,1,0,0,1,0,0,"mp",4
"1317",1856,250,33,12,1,1,0,0,0,0,"mp",3
"2149",664,72,35,12,0,2,0,0,1,1,"swcc",10
"245",0,211,62,12,0,0,0,0,1,0,"other",4
"2736",1312,93,24,12,1,0,0,1,0,0,"swcc",6
"2286",1897,309,28,11,0,2,0,1,1,1,"swcc",4
"2614",0,200,22,12,2,0,0,0,0,0,"other",4
"1912",1920,151,26,16,2,0,0,0,0,0,"swcc",7
"384",396,197,58,12,0,0,0,0,1,1,"other",5
"852",1850,545,37,17,0,2,1,0,1,1,"swcc",3
"1530",300,688,32,12,0,2,0,0,1,1,"swcc",7
"1576",774,310,32,16,1,0,0,0,1,1,"swcc",3
"1315",1512,121,34,16,0,0,1,0,1,0,"swcc",3
"2352",1960,230,31,12,0,2,0,1,1,1,"other",6
"3134",1681,70,25,12,2,0,0,1,0,0,"other",7
"1858",0,410,34,13,1,2,0,0,1,1,"swcc",5
"2696",0,330,30,16,2,1,0,0,0,0,"mp",4
"1066",2295,260,37,10,0,1,0,0,1,0,"other",4
"2648",1194,124,37,13,1,2,0,1,0,0,"other",5
"2297",2040,190,25,12,0,0,0,0,0,0,"mp",4
"3215",0,280,57,5,0,0,0,1,1,0,"other",7
"3010",1944,258,44,12,0,0,0,1,1,1,"swcc",5
"3151",1928,480,39,12,0,0,1,1,1,1,"other",2
"904",160,366,35,12,2,0,0,0,1,1,"other",4
"2265",0,235,35,14,0,1,1,1,1,1,"mp",9
"2616",1960,371,33,12,0,1,1,0,1,1,"mp",5
"2768",360,41,18,9,1,0,0,0,0,0,"other",7
"320",1715,110,32,10,0,2,1,0,0,0,"other",5
"2525",0,87,29,12,1,1,0,1,1,1,"other",6
