Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
197144586,The Science of Beauty: Debunk the Myths and Discover What Goes into Your Beauty Routine,Michelle Wong,"Wong, Michelle",,"=""0744092833""","=""9780744092837""",0,3.88,DK,Hardcover,256,2024,,2025/02/20,2025/01/17,,,read,,,,1,0
37442,"Wicked: The Life and Times of the Wicked Witch of the West (The Wicked Years, #1)",Gregory Maguire,"Maguire, Gregory",Douglas Smith,"=""0060987103""","=""9780060987107""",0,3.52,ReganBooks,Paperback,406,2000,1995,,2025/01/26,to-read,to-read (#369),to-read,,,,0,0
62994279,"King of Pride (Kings of Sin, #2)",Ana Huang,"Huang, Ana",,"=""""","=""""",0,3.93,,Kindle Edition,358,2023,2023,,2025/01/26,to-read,to-read (#368),to-read,,,,0,0
124943221,"King of Greed (Kings of Sin, #3)",Ana Huang,"Huang, Ana",,"=""""","=""""",0,3.92,,Kindle Edition,352,2023,2023,,2025/01/26,to-read,to-read (#367),to-read,,,,0,0
75491526,"King of Sloth (Kings of Sin, #4)",Ana Huang,"Huang, Ana",,"=""""","=""""",0,4.00,,Kindle Edition,466,2024,2024,,2025/01/26,to-read,to-read (#366),to-read,,,,0,0
18739426,"The Bands of Mourning (Mistborn, #6)",Brandon Sanderson,"Sanderson, Brandon",,"=""146686267X""","=""9781466862678""",0,4.41,Tor,Kindle Edition,455,2016,2016,,2024/09/24,currently-reading,currently-reading (#5),currently-reading,,,,1,0
16065004,"Shadows of Self (Mistborn, #5)",Brandon Sanderson,"Sanderson, Brandon",,"=""0765378558""","=""9780765378552""",0,4.27,Tor Books,Hardcover,376,2015,2015,2025/01/19,2024/09/24,,,read,,,,1,0
20344354,"Rewire Your Anxious Brain: How to Use the Neuroscience of Fear to End Anxiety, Panic, and Worry",Catherine M. Pittman,"Pittman, Catherine M.",Elizabeth M. Karle,"=""1626251134""","=""9781626251137""",0,4.12,New Harbinger Publications,Paperback,232,2015,2015,,2025/01/17,currently-reading,currently-reading (#4),currently-reading,,,,1,0
55271753,The Hidden Curriculum: First Generation Students at Legacy Universities,Rachel Gable,"Gable, Rachel",,"=""0691190763""","=""9780691190761""",0,4.26,Princeton University Press,Hardcover,264,2021,,,2025/01/17,currently-reading,currently-reading (#3),currently-reading,,,,1,0
59406591,"Painted Devils (Little Thieves, #2)",Margaret  Owen,"Owen, Margaret",,"=""1250831164""","=""9781250831163""",0,4.24,Henry Holt and Co. (BYR),Hardcover,512,2023,2023,,2024/11/11,to-read,to-read (#365),to-read,,,,1,0
210239728,The Anti-Heroes,Jen Lancaster,"Lancaster, Jen",,"=""1662510411""","=""9781662510410""",0,3.76,Little A,Kindle Edition,247,2024,2024,,2024/10/12,to-read,to-read (#364),to-read,,,,1,0
222163948,Eleven Numbers,Lee Child,"Child, Lee",,"=""1662526202""","=""9781662526206""",0,4.12,Amazon Original Stories,Kindle Edition,50,2025,2025,2025/01/10,2025/01/10,,,read,,,,1,0
195853552,"Burning Crowns (Twin Crowns, #3)",Catherine Doyle,"Doyle, Catherine",Katherine Webber,"=""0063326434""","=""9780063326439""",0,3.98,HarperCollins,Hardcover,480,2024,2024,,2023/08/20,to-read,to-read (#243),to-read,,,,0,0
42771754,"Supernova (Renegades, #3)",Marissa Meyer,"Meyer, Marissa",,"=""1250078385""","=""9781250078384""",0,4.38,Feiwel & Friends,Hardcover,549,2019,2019,,2024/12/25,to-read,to-read (#363),to-read,,,,0,0
35425827,"Archenemies (Renegades, #2)",Marissa Meyer,"Meyer, Marissa",,"=""1250311446""","=""9781250311443""",0,4.25,Feiwel & Friends,ebook,560,2018,2018,,2024/12/25,to-read,to-read (#362),to-read,,,,0,0
28421168,"Renegades (Renegades, #1)",Marissa Meyer,"Meyer, Marissa",,"=""1250044669""","=""9781250044662""",0,4.12,Feiwel & Friends,Hardcover,552,2017,2017,,2024/12/25,to-read,to-read (#361),to-read,,,,0,0
183086339,"Reckless (The Powerless Trilogy, #2)",Lauren  Roberts,"Roberts, Lauren",,"=""""","=""""",0,4.07,Simon & Schuster Children's UK,Kindle Edition,396,2024,2024,,2024/12/25,to-read,to-read (#360),to-read,,,,0,0
25494343,"Lady Midnight (The Dark Artifices, #1)",Cassandra Clare,"Clare, Cassandra",,"=""1442468351""","=""9781442468351""",0,4.36,Margaret K. McElderry Books,Hardcover,688,2016,2016,,2024/12/25,to-read,to-read (#359),to-read,,,,0,0
123471760,"Spark of the Everflame (Kindred's Curse, #1)",Penn Cole,"Cole, Penn",,"=""""","=""""",0,4.20,,Kindle Edition,438,2023,2023,,2024/12/25,to-read,to-read (#358),to-read,,,,0,0
203801352,The Naturalist Society,Carrie Vaughn,"Vaughn, Carrie",,"=""1662519028""","=""9781662519024""",0,4.17,47North,Kindle Edition,391,2024,2024,,2024/10/12,currently-reading,currently-reading (#2),currently-reading,,,,1,0
60749618,"The Body Keeps the Score: Brain, Mind, and Body in the Healing of Trauma",Bessel van der Kolk,"Kolk, Bessel van der",,"=""""","=""""",0,4.38,Viking Adult,Kindle Edition,644,2014,2014,2024/12/10,2024/08/12,,,read,,,,1,0
54815214,Thicker Than Water,Tyler Shultz,"Shultz, Tyler",,"=""""","=""""",0,4.16,Audible Original,Audible Audio,4,2020,2020,,2024/12/03,to-read,to-read (#357),to-read,,,,0,0
127280617,Tress of the Emerald Sea: A Cosmere Novel (Secret Projects),Brandon Sanderson,"Sanderson, Brandon",,"=""1250899664""","=""9781250899668""",0,4.36,Tor Books,Paperback,384,2024,2023,,2024/12/01,to-read,to-read (#356),to-read,,,,0,0
60657589,"Emily Wilde's Encyclopaedia of Faeries (Emily Wilde, #1)",Heather Fawcett,"Fawcett, Heather",,"=""059350013X""","=""9780593500132""",0,4.00,Del Rey,Hardcover,336,2023,2023,,2024/12/01,to-read,to-read (#355),to-read,,,,0,0
10803121,"The Alloy of Law (Mistborn, #4)",Brandon Sanderson,"Sanderson, Brandon",,"=""0765330423""","=""9780765330420""",0,4.20,Tor Books,Hardcover,325,2011,2011,2024/12/01,2024/09/24,,,read,,,,1,0
23397921,Sixth of the Dusk (The Cosmere),Brandon Sanderson,"Sanderson, Brandon",,"=""1938570073""","=""9781938570070""",0,4.21,Dragonsteel Entertainment,Kindle Edition,66,2014,2014,,2024/12/01,to-read,to-read (#354),to-read,,,,0,0
21411388,Shadows for Silence in the Forests of Hell,Brandon Sanderson,"Sanderson, Brandon",,"=""""","=""""",0,4.17,Tor Books,Unknown Binding,50,2013,2013,,2024/12/01,to-read,to-read (#353),to-read,,,,0,0
49021976,"Rhythm of War (The Stormlight Archive, #4)",Brandon Sanderson,"Sanderson, Brandon",,"=""0765326388""","=""9780765326386""",0,4.61,Tor Books,Hardcover,1232,2020,2020,,2024/12/01,to-read,to-read (#352),to-read,,,,0,0
54511226,"Dawnshard (The Stormlight Archive, #3.5)",Brandon Sanderson,"Sanderson, Brandon",,"=""193857026X""","=""""",0,4.38,Dragonsteel Entertainment,Kindle Edition,171,2020,2020,,2024/12/01,to-read,to-read (#351),to-read,,,,0,0
34703445,"Edgedancer (The Stormlight Archive, #2.5)",Brandon Sanderson,"Sanderson, Brandon",,"=""1250166543""","=""9781250166548""",0,4.17,Tor Books,Hardcover,272,2017,2016,,2024/12/01,to-read,to-read (#350),to-read,,,,0,0
34002132,"Oathbringer (The Stormlight Archive, #3)",Brandon Sanderson,"Sanderson, Brandon",,"=""076532637X""","=""9780765326379""",0,4.62,Tor Books,Hardcover,1248,2017,2017,,2024/12/01,to-read,to-read (#349),to-read,,,,0,0
17332218,"Words of Radiance (The Stormlight Archive, #2)",Brandon Sanderson,"Sanderson, Brandon",,"=""0765326361""","=""9780765326362""",0,4.76,Tor Books,Hardcover,1088,2014,2014,,2024/12/01,to-read,to-read (#348),to-read,,,,0,0
