Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
5166,Midwives,Chris Bohjalian,"Bohjalian, Chris",,"=""""","=""""",0,3.99,Vintage,Paperback,384,1998,1997,,2025/02/23,to-read,to-read (#397),to-read,,,,0,0
224003407,Into the Fire (2) (Westfallen),Brashares Ann,"Ann, Brashares",Ben Brashares,"=""1665950846""","=""9781665950848""",0,0.0,Simon & Schuster Books for Young Readers,Hardcover,288,2025,,,2025/02/22,to-read,to-read (#396),to-read,,,,0,0
152034931,Unruly: The Ridiculous History of England's Kings and Queens,David   Mitchell,"Mitchell, David",,"=""0593728491""","=""9780593728499""",3,4.14,Crown,Kindle Edition,433,2023,2023,2025/02/21,2025/01/14,,,read,,,,1,0
207297716,Westfallen,Ann Brashares,"Brashares, Ann",Ben Brashares,"=""1665950811""","=""9781665950817""",0,4.28,Simon & Schuster Books for Young Readers,Hardcover,384,2024,2024,2025/02/16,2025/02/16,,,read,,,,1,0
211025396,"The Sinners All Bow: Two Authors, One Murder, and the Real Hester Prynne",Kate Winkler Dawson,"Dawson, Kate Winkler",,"=""0593713613""","=""9780593713617""",0,3.61,G.P. Putnam's Sons,Hardcover,320,2025,2025,,2025/02/05,to-read,to-read (#395),to-read,,,,0,0
45755173,Djinn Patrol on the Purple Line,Deepa Anappara,"Anappara, Deepa",,"=""0593129199""","=""9780593129197""",0,3.81,Random House,Hardcover,347,2020,2020,2025/01/13,2024/07/29,,,read,,,,1,0
61612252,"Fatherland: A Memoir of War, Conscience, and Family Secrets",Burkhard Bilger,"Bilger, Burkhard",,"=""0385353987""","=""9780385353984""",5,4.08,Random House,Hardcover,336,2023,2023,2025/01/31,2025/01/27,,,read,,,,1,0
211399784,The Favorites,Layne Fargo,"Fargo, Layne",,"=""0593732049""","=""9780593732045""",0,4.28,Random House,Hardcover,448,2025,2025,2025/01/26,2025/01/05,,,read,,,,1,0
203956674,"The Small and the Mighty: Twelve Unsung Americans Who Changed the Course of History, from the Founding to the Civil Rights Movement",Sharon McMahon,"McMahon, Sharon",,"=""0593541677""","=""9780593541678""",0,4.48,Thesis,Hardcover,320,2024,2024,,2025/01/16,to-read,to-read (#394),to-read,,,,0,0
50127568,"Filled with Fire and Light: Portraits and Legends from the Bible, Talmud, and Hasidic World",Elie Wiesel,"Wiesel, Elie",,"=""0805243534""","=""9780805243536""",0,4.01,Schocken Books Inc,Hardcover,240,2021,2021,,2021/11/04,did-not-finish,did-not-finish (#12),did-not-finish,,,,0,0
211479192,Water Moon,Samantha Sotto Yambao,"Yambao, Samantha Sotto",,"=""0593724992""","=""9780593724996""",0,3.91,Del Rey,Hardcover,384,2025,2025,,2025/01/14,to-read,to-read (#393),to-read,,,,0,0
33998348,I Was Anastasia,Ariel Lawhon,"Lawhon, Ariel",,"=""0385541694""","=""9780385541695""",4,3.72,Doubleday,Hardcover,333,2018,2018,2018/04/21,2018/03/28,female-pov,female-pov (#59),read,,,,1,1
200468411,Babylonia,Costanza Casati,"Casati, Costanza",,"=""0241609631""","=""9780241609637""",0,4.18,Michael Joseph,Hardcover,400,2024,2024,,2025/01/05,to-read,to-read (#392),to-read,,,,0,0
65213381,"What the River Knows (Secrets of the Nile, #1)",Isabel Ibañez,"Ibañez, Isabel",,"=""1250803373""","=""9781250803375""",0,3.87,Wednesday Books,Hardcover,416,2023,2023,,2025/01/05,to-read,to-read (#391),to-read,,,,0,0
199531653,Sister Snake,Amanda Lee  Koe,"Koe, Amanda Lee",,"=""006335506X""","=""9780063355064""",0,3.82,Ecco,Hardcover,272,2024,2024,,2025/01/05,to-read,to-read (#390),to-read,,,,0,0
206005312,"Everyone This Christmas Has a Secret (Ernest Cunningham, #3)",Benjamin   Stevenson,"Stevenson, Benjamin",,"=""0063412861""","=""9780063412866""",0,3.73,Mariner Books,Hardcover,175,2024,2024,2024/12/21,2024/12/21,,,read,,,,1,0
204294824,Sleep Tight,J.H. Markert,"Markert, J.H.",,"=""1639108734""","=""9781639108732""",0,3.67,Crooked Lane Books,Hardcover,336,2024,2024,2024/12/15,2024/12/20,,,read,,,,1,0
199269577,The Spellshop,Sarah Beth Durst,"Durst, Sarah Beth",,"=""""","=""""",0,4.06,Bramble,Hardcover,384,2024,2024,2024/12/18,2024/12/20,,,read,,,,1,0
167006698,"Everyone on This Train Is a Suspect (Ernest Cunningham, #2)",Benjamin   Stevenson,"Stevenson, Benjamin",,"=""006327907X""","=""9780063279070""",0,3.85,Mariner Books,Hardcover,320,2024,2023,2024/12/20,2024/11/02,,,read,,,,1,0
198902277,The Wedding People,Alison Espach,"Espach, Alison",,"=""""","=""""",0,4.16,Henry Holt and Co.,Hardcover,384,2024,2024,2024/09/18,2024/08/01,botm,botm (#38),read,,,,1,0
23492799,The Oregon Trail: A New American Journey,Rinker Buck,"Buck, Rinker",,"=""1451659164""","=""9781451659160""",4,3.85,Simon & Schuster,Hardcover,451,2015,2015,2024/12/01,2024/11/25,,,read,,,,1,0
61675933,Warrior Girl Unearthed,Angeline Boulley,"Boulley, Angeline",,"=""1250766583""","=""9781250766588""",4,4.32,Henry Holt and Co. (BYR),Hardcover,396,2023,2023,2024/11/22,2024/11/20,,,read,,,,1,0
208840265,Dinner for Vampires: Life on a Cult TV Show (While Also in an Actual Cult!),Bethany Joy Lenz,"Lenz, Bethany Joy",,"=""1668067307""","=""9781668067307""",3,4.29,Simon & Schuster,Hardcover,303,2024,2024,2024/11/19,2024/11/13,,,read,,,,1,0
63892214,Vampires of El Norte,Isabel Cañas,"Cañas, Isabel",,"=""0593436725""","=""9780593436721""",0,3.89,Berkley,Hardcover,371,2023,2023,,2024/11/16,to-read,to-read (#389),to-read,,,,0,0
59089704,This Time Tomorrow,Emma Straub,"Straub, Emma",,"=""052553900X""","=""9780525539001""",0,3.80,Riverhead Books,Hardcover,310,2022,2022,,2024/11/14,to-read,to-read (#388),to-read,,,,0,0
