Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
62952152,My Murder,Katie Williams,"Williams, Katie",,0593543769,9.78059E+12,5,3.68,Riverhead Books,Hardcover,304,2023,2023,1/5/24,12/27/23,,,read,,,,1,0
34752277,"Band of Brothers: E Company, 506th Regiment, 101st Airborne from Normandy to Hitler's Eagle's Nest",Stephen E. Ambrose,"Ambrose, Stephen E.",,1501179403,9.7815E+12,4,4.42,Simon & Schuster,Paperback,336,2017,1992,12/30/23,12/24/23,,,read,,,,1,0
42034140,A Pure Heart,Rajia Hassib,"Hassib, Rajia",,052556005X,9.78053E+12,4,3.8,Viking,Hardcover,288,2019,2019,12/27/23,12/19/23,,,read,,,,1,0
101145039,The Helsinki Affair,Anna Pitoniak,"Pitoniak, Anna",,1668014742,9.78167E+12,3,3.46,Simon & Schuster,Hardcover,368,2023,2023,12/16/23,11/24/23,,,read,,,,1,0
123036004,The Berry Pickers,Amanda    Peters,"Peters, Amanda",,1646221958,9.78165E+12,4,4.24,Catapult,Hardcover,307,2023,2023,12/12/23,11/20/23,,,read,,,,1,0
9858200,"Death on the Nile (Hercule Poirot, #18)",Agatha Christie,"Christie, Agatha",,0062073559,9.78006E+12,4,4.13,William Morrow Paperbacks,Paperback,333,2011,1937,4/12/20,3/26/20,,,read,,,,1,0
62919162,Whalefall,Daniel Kraus,"Kraus, Daniel",,1665918160,9.78167E+12,4,3.78,MTV Books,Hardcover,327,2023,2023,12/6/23,9/11/23,,,read,,,,1,0
61484904,The Dos and Donuts of Love,Adiba Jaigirdar,"Jaigirdar, Adiba",,1250842115,9.78125E+12,3,3.93,Feiwel & Friends,Hardcover,336,2023,2023,11/29/23,11/29/23,,,read,,,,1,0
59575958,Small Angels,Lauren Owen,"Owen, Lauren",,0593242203,9.78059E+12,3,3.68,Random House,Hardcover,400,2022,2022,11/23/23,11/20/23,,,read,,,,1,0
52038346,Sisters of Sword and Song,Rebecca   Ross,"Ross, Rebecca",,0062471414,9.78006E+12,2,4.07,HarperTeen,Hardcover,432,2020,2020,11/20/23,11/10/23,,,read,,,,1,0
58784475,"Tomorrow, and Tomorrow, and Tomorrow",Gabrielle Zevin,"Zevin, Gabrielle",,,,5,4.2,Knopf,Hardcover,401,2022,2022,11/11/23,10/29/23,,,read,,,,1,0
103454862,"Everything I Learned, I Learned in a Chinese Restaurant",Curtis Chin,"Chin, Curtis",,0316507652,9.78032E+12,3,3.86,"Little, Brown and Company",Hardcover,291,2023,2023,11/10/23,11/3/23,,,read,,,,1,0
56816904,The Sentence,Louise Erdrich,"Erdrich, Louise",,006267112X,9.78006E+12,3,3.97,Harper,Hardcover,387,2021,2021,11/2/23,11/3/21,,,read,,,,1,0
38622904,The Seven Deaths of Evelyn Hardcastle,Stuart Turton,"Turton, Stuart",Jot Davies,,,4,3.84,Audible Studios for Bloomsbury,Audible Audio,17,2018,2018,3/23/19,12/26/18,"audible, british-isles, mixed-pov","audible (#86), british-isles (#45), mixed-pov (#25)",read,"One of the best books I have read this year. The premise was so interesting, and the story was well executed. It was a great combination of twists I didn’t see coming as well as story lines I could theorize about and figure out. There were two small drawbacks for me... I felt that the beginning was a bit slow, given that the audience knows more than the protagonists, and the main character repeated himself a lot, but those were so minor relative to the complexity that I’m willing to forgive. A great book... read it with my boyfriend and we really enjoyed sharing our theories with each other as the story progressed. Definitely would recommend!",,,1,1
59314709,Counterfeit,Kirstin Chen,"Chen, Kirstin",,,,4,3.49,William Morrow,Hardcover,288,2022,2022,10/4/23,4/19/22,,,read,,,,1,0
184149572,Hula,Jasmin Iolani Hakes,"Hakes, Jasmin Iolani",Mapuana Makia,,9.78006E+12,5,3.97,HarperAudio,Audiobook,11,2023,2023,10/2/23,7/31/23,,,read,,,,1,0
12887607,The Borrower,Rebecca Makkai,"Makkai, Rebecca",,0143120956,9.78014E+12,5,3.53,Penguin Books,Paperback,324,2012,2011,9/24/23,2/24/23,,,read,,,,1,0
45916267,Everything Sad Is Untrue,Daniel Nayeri,"Nayeri, Daniel",,,,0,4.33,Levine Querido,Hardcover,368,2020,2020,,8/30/23,,,read,,,,1,0
51777543,Data Feminism,Catherine D’Ignazio,"D’Ignazio, Catherine",Lauren F. Klein,0262044005,9.78026E+12,3,4.36,MIT Press,Hardcover,328,2020,2020,9/14/23,3/29/22,,,read,,,,1,0
9516,"Persepolis: The Story of a Childhood (Persepolis, #1)",Marjane Satrapi,"Satrapi, Marjane",Mattias Ripa,037571457X,9.78038E+12,0,4.26,Pantheon,Paperback,153,2004,2003,,2/25/23,,,read,,,,1,0
